proverb,normalized,source,tokens
اهل بخیه,اهل بخیه,abadis_proverb,"['اهل', 'بخیه']"
اهن سردکوبیدن,اهن سردکوبیدن,abadis_proverb,"['اهن', 'سرد', '##کوبی', '##دن']"
اواز دهل شنیدن از دور خوش است,اواز دهل شنیدن از دور خوش است,abadis_proverb,"['اواز', 'دهل', 'شنیدن', 'از', 'دور', 'خوش', 'است']"
اواکس,اواکس,abadis_proverb,['اواکس']
اوپدیس بازی کردن,اوپدیس بازی کردن,abadis_proverb,"['اوپ', '##دیس', 'بازی', 'کردن']"
اوپدیس کردن,اوپدیس کردن,abadis_proverb,"['اوپ', '##دیس', 'کردن']"
اوت,اوت,abadis_proverb,['اوت']
اوسگول,اوسگول,abadis_proverb,"['اوس', '##گول']"
اوشکول,اوشکول,abadis_proverb,"['اوش', '##کول']"
اول اون رو که که زاییدی بزرگ کن,اول اون رو که که زایید#زای بزرگ کن,abadis_proverb,"['اول', 'اون', 'رو', 'که', 'که', 'زایید', '[UNK]', 'زای', 'بزرگ', 'کن']"
اول برادریت را ثابت کن بعد ادعای ارث و میراث بکن,اول برادر را ثابت کن بعد ادعای ارث و میراث بکن,abadis_proverb,"['اول', 'برادر', 'را', 'ثابت', 'کن', 'بعد', 'ادعای', 'ارث', 'و', 'میراث', 'بکن']"
اولاد بادام است نوه مغز بادام,اولاد بادام است نوه مغز بادام,abadis_proverb,"['اولاد', 'بادام', 'است', 'نوه', 'مغز', 'بادام']"
اومد راه بره تک چرخ زد,اومد راه بره تک چرخ زد#زن,abadis_proverb,"['اومد', 'راه', 'بره', 'تک', 'چرخ', 'زد', '[UNK]', 'زن']"
اون روز که جیک جیک مستونت بود یاد زمستونت نبود,اون روز که جیک جیک مستونت بود#است یاد زمستونت بود#است,abadis_proverb,"['اون', 'روز', 'که', 'جیک', 'جیک', 'مست', '##ونت', 'بود', '[UNK]', 'است', 'یاد', 'زمستون', '##ت', 'بود', '[UNK]', 'است']"
اونایی که برای شما ارزوست برای ما خاطره ست,اونایی که برای شما ارزوست برای ما خاطره ست,abadis_proverb,"['اونایی', 'که', 'برای', 'شما', 'ارزوست', 'برای', 'ما', 'خاطره', 'ست']"
اونجا هیچی انتن نمی ده,اونجا هیچی انتن نمی‌ده,abadis_proverb,"['اونجا', 'هیچی', 'انتن', 'نمیده']"
اویزون,اویزون,abadis_proverb,"['اویز', '##ون']"
ای داد بیداد,ای داد بیداد,abadis_proverb,"['ای', 'داد', 'بیداد']"
ای ول,ای ول,abadis_proverb,"['ای', 'ول']"
ای کیو,ای کیو,abadis_proverb,"['ای', 'کیو']"
ایراد بنی اسرائیلی,ایراد بنی اسرائیلی,abadis_proverb,"['ایراد', 'بنی', 'اسرايیلی']"
ایز گم کردن,ایز گم کردن,abadis_proverb,"['ایز', 'گم', 'کردن']"
این اشی است که خودم برای خودم پختم,این اشی است که خودم برای خودم پخت#پز,abadis_proverb,"['این', 'اشی', 'است', 'که', 'خودم', 'برای', 'خودم', 'پخت', '[UNK]', 'پز']"
این امام زاده کور می کنه که شفا نمیده,این امام‌زاده کور می‌کنه که شفا نمیده,abadis_proverb,"['این', 'امامزاده', 'کور', 'میکنه', 'که', 'شفا', 'نمیده']"
این برای فاطی تنبان نمی شود,این برای فاطی تنبان شد#شو,abadis_proverb,"['این', 'برای', 'فاط', '##ی', 'تنب', '##ان', 'شد', '[UNK]', 'شو']"
این به ان در,این به ان در,abadis_proverb,"['این', 'به', 'ان', 'در']"
این پا و ان پا کردن یا شدن,این پا و ان پا کردن یا شدن,abadis_proverb,"['این', 'پا', 'و', 'ان', 'پا', 'کردن', 'یا', 'شدن']"
این تو بمیری از ان تو بمیری ها نیست,این تو مرد#میر از ان تو بمیری‌ها نیست,abadis_proverb,"['این', 'تو', 'مرد', '[UNK]', 'میر', 'از', 'ان', 'تو', 'بمیری', '##ها', 'نیست']"
این حرف ها واسه فاطی تنبون نمیشه,این حرف واسه فاطی تنبون نمیشه,abadis_proverb,"['این', 'حرف', 'واسه', 'فاط', '##ی', 'تنب', '##ون', 'نمیشه']"
این خر نشد خر دیگه پالون می دوزم رنگ دیگه,این خر شد#شو خر دیگه پالون دوخت#دوز رنگ دیگه,abadis_proverb,"['این', 'خر', 'شد', '[UNK]', 'شو', 'خر', 'دیگه', 'پالو', '##ن', 'دوخت', '[UNK]', 'دوز', 'رنگ', 'دیگه']"
این خط این نشون,این خط این نشون,abadis_proverb,"['این', 'خط', 'این', 'نشون']"
این رشته سر دراز دارد,این رشته سر دراز داشت#دار,abadis_proverb,"['این', 'رشته', 'سر', 'دراز', 'داشت', '[UNK]', 'دار']"
این شاخ و ان شاخ کردن,این شاخ و ان شاخ کردن,abadis_proverb,"['این', 'شاخ', 'و', 'ان', 'شاخ', 'کردن']"
این قبایی است که برای تو دوخته شده,این قبایی است که برای تو دوخته شده,abadis_proverb,"['این', 'قبای', '##ی', 'است', 'که', 'برای', 'تو', 'دوخته', 'شده']"
این گوی و این میدان,این گوی و این میدان,abadis_proverb,"['این', 'گوی', 'و', 'این', 'میدان']"
این نیز بگذرد,این نیز گدشت#گذر,abadis_proverb,"['این', 'نیز', 'گد', '##شت', '[UNK]', 'گذر']"
این کلاه برای سرت گشاده,این کلاه برای سرت گشاده,abadis_proverb,"['این', 'کلاه', 'برای', 'سرت', 'گشاده']"
این یک تومان را بگیر جواب بده,این یک تومان را بگیر جواب بده,abadis_proverb,"['این', 'یک', 'تومان', 'را', 'بگیر', 'جواب', 'بده']"
اینه اش پاک نیست,اینه پاک نیست,abadis_proverb,"['اینه', 'پاک', 'نیست']"
اینه اش را گم کرده,اینه را گم‌کرده,abadis_proverb,"['اینه', 'را', 'گم', '##کرده']"
اینه به دست زنگی,اینه به دست زنگی,abadis_proverb,"['اینه', 'به', 'دست', 'زنگی']"
اینه ی بغل اتوبوس,اینه بغل اتوبوس,abadis_proverb,"['اینه', 'بغل', 'اتوبوس']"
ایه یاس خواندن,ایه یاس خواندن,abadis_proverb,"['ایه', 'یاس', 'خواندن']"
ایینه دق,ایینه دق,abadis_proverb,"['ایینه', 'دق']"
با اتیکت,با اتیکت,abadis_proverb,"['با', 'اتیکت']"
با پای خود به گور رفتن,با پای خود به گور رفتن,abadis_proverb,"['با', 'پای', 'خود', 'به', 'گور', 'رفتن']"
با پنبه سر بریدن,با پنبه سر بریدن,abadis_proverb,"['با', 'پنبه', 'سر', 'بریدن']"
با حال,با حال,abadis_proverb,"['با', 'حال']"
با حلوا حلوا گفتن دهان شیرین نمی شود,با حلوا حلوا گفتن دهان شیرین شد#شو,abadis_proverb,"['با', 'حلوا', 'حلوا', 'گفتن', 'دهان', 'شیرین', 'شد', '[UNK]', 'شو']"
با خاک یک سان کردن جایی,با خاک یک سان کردن جایی,abadis_proverb,"['با', 'خاک', 'یک', 'سان', 'کردن', 'جایی']"
با خودش هم قهر است,با خودش هم قهر است,abadis_proverb,"['با', 'خودش', 'هم', 'قهر', 'است']"
با دست پس زدن با پا پیش کشیدن,با دست پس زدن با پا پیش کشیدن,abadis_proverb,"['با', 'دست', 'پس', 'زدن', 'با', 'پا', 'پیش', 'کشیدن']"
با دست پس می زنه با پا پیش می کشه,با دست پس می‌زنه با پا پیش می‌کشه,abadis_proverb,"['با', 'دست', 'پس', 'میزنه', 'با', 'پا', 'پیش', 'میکشه']"
با دم خود گردو شکستن,با دم خود گردو شکستن,abadis_proverb,"['با', 'دم', 'خود', 'گردو', 'شکستن']"
با دم شیر بازی کردن,با دم شیر بازی کردن,abadis_proverb,"['با', 'دم', 'شیر', 'بازی', 'کردن']"
با دمش گردو می شکنه,با دمش گردو می‌شکنه,abadis_proverb,"['با', 'دمش', 'گردو', 'میشک', '##نه']"
با دنده سنگین رفتن,با دنده سنگین رفتن,abadis_proverb,"['با', 'دنده', 'سنگین', 'رفتن']"
با دوستان مروت با دشمنان مدارا,با دوستان مروت با دشمن مدارا,abadis_proverb,"['با', 'دوستان', 'مروت', 'با', 'دشمن', 'مدارا']"
با زبان بی زبانی,با زبان بی زبانی,abadis_proverb,"['با', 'زبان', 'بی', 'زبانی']"
با شاخ گاو یا غول درافتادن,با شاخ گاو یا غول درافتادن,abadis_proverb,"['با', 'شاخ', 'گاو', 'یا', 'غول', 'درافت', '##ادن']"
با طناب پوسیده ی کسی توی چاه رفتن یا خود را توی چاه انداختن,با طناب پوسیده کسی توی چاه رفتن یا خود را توی چاه انداختن,abadis_proverb,"['با', 'طناب', 'پوسیده', 'کسی', 'توی', 'چاه', 'رفتن', 'یا', 'خود', 'را', 'توی', 'چاه', 'انداختن']"
با لباس سفید می اید با کفن سفید می رود,با لباس سفید می‌اید با کفن سفید رفت#رو,abadis_proverb,"['با', 'لباس', 'سفید', 'میاید', 'با', 'کفن', 'سفید', 'رفت', '[UNK]', 'رو']"
با کسی تا کردن,با کسی تا کردن,abadis_proverb,"['با', 'کسی', 'تا', 'کردن']"
با کسی چپ افتادن یا شدن,با کسی چپ افتادن یا شدن,abadis_proverb,"['با', 'کسی', 'چپ', 'افتادن', 'یا', 'شدن']"
با کسی خلوت کردن,با کسی خلوت کردن,abadis_proverb,"['با', 'کسی', 'خلوت', 'کردن']"
با کسی سرسنگین بودن یا شدن,با کسی سرسنگین بودن یا شدن,abadis_proverb,"['با', 'کسی', 'سرسنگی', '##ن', 'بودن', 'یا', 'شدن']"
با کسی طرف شدن,با کسی طرف شدن,abadis_proverb,"['با', 'کسی', 'طرف', 'شدن']"
با کسی گاوبندی داشتن,با کسی گاوبندی داشتن,abadis_proverb,"['با', 'کسی', 'گاوب', '##ندی', 'داشتن']"
با یک دست نمی شود دو تا هندوانه برداشت,با یک دست شد#شو دو تا هندوانه برداشت,abadis_proverb,"['با', 'یک', 'دست', 'شد', '[UNK]', 'شو', 'دو', 'تا', 'هندوانه', 'برداشت']"
با یک غوره سردیش می کنه با یک مویز گرمیش,با یک غوره سرد می‌کنه با یک مویز گرم,abadis_proverb,"['با', 'یک', 'غوره', 'سرد', 'میکنه', 'با', 'یک', 'مویز', 'گرم']"
با یک گل بهار نمی شه,با یک گل‌بهار نمی‌شه,abadis_proverb,"['با', 'یک', 'گلبهار', 'نمیشه']"
باب چیزی باز شدن,باب چیزی باز شدن,abadis_proverb,"['باب', 'چیزی', 'باز', 'شدن']"
باب چیزی را گشودن یا باز کردن,باب چیزی را گشودن یا باز کردن,abadis_proverb,"['باب', 'چیزی', 'را', 'گشودن', 'یا', 'باز', 'کردن']"
باب دندان کسی بودن,باب دندان کسی بودن,abadis_proverb,"['باب', 'دندان', 'کسی', 'بودن']"
باباش چی بود که بچه اش باشه,بابا چی بود#است که بچه باشه,abadis_proverb,"['بابا', 'چی', 'بود', '[UNK]', 'است', 'که', 'بچه', 'باشه']"
بابای کسی پیش چشمش امدن,بابای کسی پیش چشمش امدن,abadis_proverb,"['بابای', 'کسی', 'پیش', 'چشمش', 'امدن']"
بابای کسی درامدن,بابای کسی درامدن,abadis_proverb,"['بابای', 'کسی', 'درامدن']"
بابای کسی را دراوردن,بابای کسی را دراوردن,abadis_proverb,"['بابای', 'کسی', 'را', 'دراوردن']"
باتری قلمی,باتری قلمی,abadis_proverb,"['باتری', 'قلمی']"
باج به شغال دادن,باج به شغال دادن,abadis_proverb,"['باج', 'به', 'شغال', 'دادن']"
باج سبیل به کسی دادن یا از کسی گرفتن,باج سبیل به کسی دادن یا از کسی گرفتن,abadis_proverb,"['باج', 'سبیل', 'به', 'کسی', 'دادن', 'یا', 'از', 'کسی', 'گرفتن']"
باد اورده را باد می برد,باد اورده را باد برد#بر,abadis_proverb,"['باد', 'اورده', 'را', 'باد', 'برد', '[UNK]', 'بر']"
باد بزن جیگر,باد بزن جیگر,abadis_proverb,"['باد', 'بزن', 'جیگر']"
باد به استین کسی افتادن,باد به استین کسی افتادن,abadis_proverb,"['باد', 'به', 'استین', 'کسی', 'افتادن']"
باد به استین کسی کردن یا انداختن,باد به استین کسی کردن یا انداختن,abadis_proverb,"['باد', 'به', 'استین', 'کسی', 'کردن', 'یا', 'انداختن']"
باد به بیرق یا پرچم کسی خوردن یا وزیدن,باد به بیرق یا پرچم کسی خوردن یا وزیدن,abadis_proverb,"['باد', 'به', 'بیرق', 'یا', 'پرچم', 'کسی', 'خوردن', 'یا', 'وزیدن']"
باد به پای یا گرد یا گرد پای کسی نرسیدن,باد به پای یا گرد یا گرد پای کسی نرسیدن,abadis_proverb,"['باد', 'به', 'پای', 'یا', 'گرد', 'یا', 'گرد', 'پای', 'کسی', 'نرسیدن']"
باد به غبغب یا استین انداختن,باد به غبغب یا استین انداختن,abadis_proverb,"['باد', 'به', 'غبغب', 'یا', 'استین', 'انداختن']"
باد به یا توی غبغب انداختن,باد به یا توی غبغب انداختن,abadis_proverb,"['باد', 'به', 'یا', 'توی', 'غبغب', 'انداختن']"
باد دماغ داشتن,باد دماغ داشتن,abadis_proverb,"['باد', 'دماغ', 'داشتن']"
بادمجان بم افت ندارد,بادمجان بم افت داشت#دار,abadis_proverb,"['بادمجان', 'بم', 'افت', 'داشت', '[UNK]', 'دار']"
بادمجان دور قاب چیدن,بادمجان دور قاب چیدن,abadis_proverb,"['بادمجان', 'دور', 'قاب', 'چیدن']"
بادمجان دورقاب چین,بادمجان دورقاب چین,abadis_proverb,"['بادمجان', 'دور', '##قاب', 'چین']"
بادمجون واکس کن,بادمجون واکس کن,abadis_proverb,"['بادم', '##جون', 'واکس', 'کن']"
بار خود را بر زمین گذاشتن,بار خود را بر زمین گذاشت#گذار,abadis_proverb,"['بار', 'خود', 'را', 'بر', 'زمین', 'گذاشت', '[UNK]', 'گذار']"
بار خود را بستن,بار خود را بستن,abadis_proverb,"['بار', 'خود', 'را', 'بستن']"
بد یوزر,بد یوزر,abadis_proverb,"['بد', 'یوزر']"
بدتر از کوری بی شعوری,بدتر از کوری بی شعوری,abadis_proverb,"['بدتر', 'از', 'کوری', 'بی', 'شعوری']"
بدم بمیر و بدم,بدم بمیر و بدم,abadis_proverb,"['بدم', 'بمیر', 'و', 'بدم']"
بدن کار,بدن کار,abadis_proverb,"['بدن', 'کار']"
بده ان دستت,بده ان دستت,abadis_proverb,"['بده', 'ان', 'دستت']"
بدهکار را هیچی نگی طلبکار می شه,بدهکار را هیچی نگی طلبکار می‌شه,abadis_proverb,"['بدهکار', 'را', 'هیچی', 'نگی', 'طلبکار', 'میشه']"
بدون اجازه ی کسی اب نخوردن,بدون اجازه کسی اب نخوردن,abadis_proverb,"['بدون', 'اجازه', 'کسی', 'اب', 'نخوردن']"
بر خر مراد سوار شدن یا بودن,بر خر مراد سوار شدن یا بودن,abadis_proverb,"['بر', 'خر', 'مراد', 'سوار', 'شدن', 'یا', 'بودن']"
بر ذمه ی کسی بودن,بر ذمه کسی بودن,abadis_proverb,"['بر', 'ذمه', 'کسی', 'بودن']"
بر یا در ماتم کسی نشستن,بر یا در ماتم کسی نشستن,abadis_proverb,"['بر', 'یا', 'در', 'ماتم', 'کسی', 'نشستن']"
برادر را جای برادر نمی گیرند,برادر را جای برادر گرفت#گیر,abadis_proverb,"['برادر', 'را', 'جای', 'برادر', 'گرفت', '[UNK]', 'گیر']"
برادریمان به جا بزغاله یکی هفت صنار,برادر به جا بزغاله یکی هفت صنار,abadis_proverb,"['برادر', 'به', 'جا', 'بزغاله', 'یکی', 'هفت', 'صن', '##ار']"
برای خالی نماندن عریضه,برای خالی نماندن عریضه,abadis_proverb,"['برای', 'خالی', 'نماندن', 'عریضه']"
برای لای جرز خوب بودن یا به درد لای جرز خوردن,برای لای جرز خوب بودن یا به درد لای جرز خوردن,abadis_proverb,"['برای', 'لای', 'جرز', 'خوب', 'بودن', 'یا', 'به', 'درد', 'لای', 'جرز', 'خوردن']"
برای لای جرز خوبه,برای لای جرز خوبه,abadis_proverb,"['برای', 'لای', 'جرز', 'خوبه']"
برای نهادن چه سنگ و چه زر,برای نهادن چه سنگ و چه زر,abadis_proverb,"['برای', 'نهادن', 'چه', 'سنگ', 'و', 'چه', 'زر']"
برای هفت پشتم بسه,برای هفت پشتم بسه,abadis_proverb,"['برای', 'هفت', 'پشتم', 'بسه']"
برای همه مادره برای من زن بابا,برای همه مادره برای من زن بابا,abadis_proverb,"['برای', 'همه', 'مادر', '##ه', 'برای', 'من', 'زن', 'بابا']"
برای کسی بمیر که برات تب کنه,برای کسی بمیر که برات تب کنه,abadis_proverb,"['برای', 'کسی', 'بمیر', 'که', 'برات', 'تب', 'کنه']"
برای کسی پستان به تنور چسباندن,برای کسی پستان به تنور چسباندن,abadis_proverb,"['برای', 'کسی', 'پستان', 'به', 'تنور', 'چسباندن']"
برای یک بی نماز در مسجد را نمی بندند,برای یک بی‌نماز در مسجد را بست#بند,abadis_proverb,"['برای', 'یک', 'بینما', '##ز', 'در', 'مسجد', 'را', 'بست', '[UNK]', 'بند']"
برای یک دستمال قیصریه را به اتش کشیدن,برای یک دستمال قیصریه را به اتش کشیدن,abadis_proverb,"['برای', 'یک', 'دستمال', 'قیصریه', 'را', 'به', 'اتش', 'کشیدن']"
برخوردن,برخوردن,abadis_proverb,"['برخورد', '##ن']"
برزخ شدن,برزخ شدن,abadis_proverb,"['برزخ', 'شدن']"
برق از چشم کسی پریدن,برق از چشم کسی پریدن,abadis_proverb,"['برق', 'از', 'چشم', 'کسی', 'پریدن']"
برق از سر پریدن,برق از سر پریدن,abadis_proverb,"['برق', 'از', 'سر', 'پریدن']"
برگ سبزی است تحفه درویش,برگ سبزی است تحفه درویش,abadis_proverb,"['برگ', 'سبزی', 'است', 'تحفه', 'درویش']"
برنامه ی اینده,برنامه اینده,abadis_proverb,"['برنامه', 'اینده']"
بره کلاه بیاره سر را با کلاه می اورد,بره کلاه بیاره سر را با کلاه می‌اورد,abadis_proverb,"['بره', 'کلاه', 'بیاره', 'سر', 'را', 'با', 'کلاه', 'میاورد']"
برهنه و خوشحال,برهنه و خوشحال,abadis_proverb,"['برهنه', 'و', 'خوشحال']"
برو بچ,برو بچ,abadis_proverb,"['برو', 'بچ']"
برو بکس,برو بکس,abadis_proverb,"['برو', 'بکس']"
برو جلو بوق بزن,برو جلو بوق بزن,abadis_proverb,"['برو', 'جلو', 'بوق', 'بزن']"
برو غازت را بچران,برو غاز را بچران,abadis_proverb,"['برو', 'غاز', 'را', 'بچ', '##ران']"
برو کشکت را بساب,برو کشک را بساب,abadis_proverb,"['برو', 'کشک', 'را', 'بسا', '##ب']"
بریدن,بریدن,abadis_proverb,['بریدن']
بز اخفش,بز اخفش,abadis_proverb,"['بز', 'اخ', '##فش']"
بز خر,بز خر,abadis_proverb,"['بز', 'خر']"
بزن بر طبل بی عاری که ان هم عالمی دارد,بزن بر طبل بی عاری که ان هم عالمی داشت#دار,abadis_proverb,"['بزن', 'بر', 'طبل', 'بی', 'عاری', 'که', 'ان', 'هم', 'عالمی', 'داشت', '[UNK]', 'دار']"
بزنم به تخته,زد#زن به تخته,abadis_proverb,"['زد', '[UNK]', 'زن', 'به', 'تخته']"
بزک نمیر بهار می یاد کمبزه خیار می یاد,بزک نمیر بهار می‌یاد کمبزه خیار می‌یاد,abadis_proverb,"['بزک', 'نمیر', 'بهار', 'مییاد', 'کمب', '##زه', 'خیار', 'مییاد']"
بسا کسان که به روز تو ارزومندند,بسا کسان که به‌روز تو ارزومندند,abadis_proverb,"['بسا', 'کسان', 'که', 'بهروز', 'تو', 'ارزومند', '##ند']"
بسیار سفر باید تا پخته شود خامی,بسیار سفر باید تا پخت#پز خامی,abadis_proverb,"['بسیار', 'سفر', 'باید', 'تا', 'پخت', '[UNK]', 'پز', 'خامی']"
بشقل,بشقل,abadis_proverb,"['بشق', '##ل']"
بعد از سیری لقمه پنج سیری,بعد از سیری لقمه پنج سیری,abadis_proverb,"['بعد', 'از', 'سیری', 'لقمه', 'پنج', 'سیری']"
بعد از نود و بوقی,بعد از نود و بوقی,abadis_proverb,"['بعد', 'از', 'نود', 'و', 'بوقی']"
بعد از یک عمر گدایی شب جمعه یادش رفته,بعد از یک عمر گدایی شب جمعه یادش رفته,abadis_proverb,"['بعد', 'از', 'یک', 'عمر', 'گدایی', 'شب', 'جمعه', 'یادش', 'رفته']"
بفهمی نفهمی,فهمید#فهم فهمید#فهم,abadis_proverb,"['فهمید', '[UNK]', 'فهم', 'فهمید', '[UNK]', 'فهم']"
بگومگو یا بگونگو کردن,بگومگو یا بگونگو کردن,abadis_proverb,"['بگومگو', 'یا', 'بگو', '##نگو', 'کردن']"
بگیر ببند بده دست پهلوون,بگیر ببند بده دست پهلوون,abadis_proverb,"['بگیر', 'ببند', 'بده', 'دست', 'پهلو', '##ون']"
بل گرفتن,بل گرفتن,abadis_proverb,"['بل', 'گرفتن']"
بلا نسبت,بلا نسبت,abadis_proverb,"['بلا', 'نسبت']"
بلندگو قورت دادن,بلندگو قورت دادن,abadis_proverb,"['بلندگو', 'قورت', 'دادن']"
بند دل پاره شدن,بند دل پاره شدن,abadis_proverb,"['بند', 'دل', 'پاره', 'شدن']"
بند را اب دادن,بند را اب دادن,abadis_proverb,"['بند', 'را', 'اب', 'دادن']"
بندتنبانی یا بندتنبونی,بندتنبانی یا بندتنبونی,abadis_proverb,"['بند', '##تن', '##بانی', 'یا', 'بند', '##تن', '##بونی']"
بندری می زنه,بندر می‌زنه,abadis_proverb,"['بندر', 'میزنه']"
به ابدیت پیوستن,به ابدیت پیوست#پیوند,abadis_proverb,"['به', 'ابدیت', 'پیوست', '[UNK]', 'پیوند']"
به اسب شاه گفتند یابو,به اسب شاه گفت#گو یابو,abadis_proverb,"['به', 'اسب', 'شاه', 'گفت', '[UNK]', 'گو', 'یاب', '##و']"
به اسب شاه یابو گفتن,به اسب شاه یابو گفتن,abadis_proverb,"['به', 'اسب', 'شاه', 'یاب', '##و', 'گفتن']"
به اسم بچه مادر می خوره قند و کلوچه,به اسم بچه مادر می‌خوره قند و کلوچه,abadis_proverb,"['به', 'اسم', 'بچه', 'مادر', 'میخوره', 'قند', 'و', 'کلوچه']"
به اسم کسی تمام شدن یا دررفتن,به اسم کسی تمام شدن یا دررفتن,abadis_proverb,"['به', 'اسم', 'کسی', 'تمام', 'شدن', 'یا', 'دررفت', '##ن']"
به اسم کسی تمام کردن,به اسم کسی تمام کردن,abadis_proverb,"['به', 'اسم', 'کسی', 'تمام', 'کردن']"
به بار اوردن,به بار اوردن,abadis_proverb,"['به', 'بار', 'اوردن']"
به بار نشستن,به بار نشستن,abadis_proverb,"['به', 'بار', 'نشستن']"
به پای کسی یا چیزی رسیدن,به پای کسی یا چیزی رسیدن,abadis_proverb,"['به', 'پای', 'کسی', 'یا', 'چیزی', 'رسیدن']"
به پست کسی خوردن,به پست کسی خوردن,abadis_proverb,"['به', 'پست', 'کسی', 'خوردن']"
به تخم کسی,به تخم کسی,abadis_proverb,"['به', 'تخم', 'کسی']"
به تریج قباش خورده,به تریج قبا خورده,abadis_proverb,"['به', 'تری', '##ج', 'قبا', 'خورده']"
به تریش قبای کسی برخوردن,به تریش قبای کسی برخوردن,abadis_proverb,"['به', 'تری', '##ش', 'قبای', 'کسی', 'برخورد', '##ن']"
به تیپ هم زدن,به تیپ هم زدن,abadis_proverb,"['به', 'تیپ', 'هم', 'زدن']"
به تیر غیب گرفتار شدن,به تیر غیب گرفتار شدن,abadis_proverb,"['به', 'تیر', 'غیب', 'گرفتار', 'شدن']"
به جاده خاکی یا جاده ی خاکی انداختن یا زدن,به جاده خاکی یا جاده خاکی انداختن یا زدن,abadis_proverb,"['به', 'جاده', 'خاکی', 'یا', 'جاده', 'خاکی', 'انداختن', 'یا', 'زدن']"
به جای باریک یا نازک کشیدن یا رسیدن,به جای باریک یا نازک کشیدن یا رسیدن,abadis_proverb,"['به', 'جای', 'باریک', 'یا', 'نازک', 'کشیدن', 'یا', 'رسیدن']"
به جای خود,به جای خود,abadis_proverb,"['به', 'جای', 'خود']"
به جایی برنخوردن,به جایی برنخوردن,abadis_proverb,"['به', 'جایی', 'برنخورد', '##ن']"
به جایی رساندن چیزی,به جایی رساندن چیزی,abadis_proverb,"['به', 'جایی', 'رساندن', 'چیزی']"
به جایی رسیدن,به جایی رسیدن,abadis_proverb,"['به', 'جایی', 'رسیدن']"
به جایی کشیدن,به جایی کشیدن,abadis_proverb,"['به', 'جایی', 'کشیدن']"
به چاه افتادن,به چاه افتادن,abadis_proverb,"['به', 'چاه', 'افتادن']"
به چاک زدن یا به چاک جعده زدن,به چاک زدن یا به چاک جعده زدن,abadis_proverb,"['به', 'چاک', 'زدن', 'یا', 'به', 'چاک', 'جع', '##ده', 'زدن']"
به چیزی شاخ وبرگ دادن,به چیزی شاخ وبرگ دادن,abadis_proverb,"['به', 'چیزی', 'شاخ', 'وبر', '##گ', 'دادن']"
به حساب کسی رسیدن,به حساب کسی رسیدن,abadis_proverb,"['به', 'حساب', 'کسی', 'رسیدن']"
به خال زدن,به خال زدن,abadis_proverb,"['به', 'خال', 'زدن']"
به خاک سیاه نشاندن,به خاک سیاه نشاندن,abadis_proverb,"['به', 'خاک', 'سیاه', 'نشاندن']"
به خاک سیاه نشستن,به خاک سیاه نشستن,abadis_proverb,"['به', 'خاک', 'سیاه', 'نشستن']"
به خدا رسیدن,به خدا رسیدن,abadis_proverb,"['به', 'خدا', 'رسیدن']"
به خط تعارف رسیده,به خط تعارف رسیده,abadis_proverb,"['به', 'خط', 'تعارف', 'رسیده']"
به خون کسی تشنه بودن,به خون کسی تشنه بودن,abadis_proverb,"['به', 'خون', 'کسی', 'تشنه', 'بودن']"
به داد کسی رسیدن,به داد کسی رسیدن,abadis_proverb,"['به', 'داد', 'کسی', 'رسیدن']"
به در بسته خوردن یا با در بسته روبرو شدن,به در بسته خوردن یا با در بسته روبرو شدن,abadis_proverb,"['به', 'در', 'بسته', 'خوردن', 'یا', 'با', 'در', 'بسته', 'روبرو', 'شدن']"
به در گفتن که یا تا دیوار بشنود,به در گفتن که یا تا دیوار شنفت#شنو,abadis_proverb,"['به', 'در', 'گفتن', 'که', 'یا', 'تا', 'دیوار', 'شن', '##فت', '[UNK]', 'شنو']"
به در می گوید دیوار بشنود,به در گفت#گو دیوار شنفت#شنو,abadis_proverb,"['به', 'در', 'گفت', '[UNK]', 'گو', 'دیوار', 'شن', '##فت', '[UNK]', 'شنو']"
به درد لای جرز خوردن یا برای لای جرز خوب بودن,به درد لای جرز خوردن یا برای لای جرز خوب بودن,abadis_proverb,"['به', 'درد', 'لای', 'جرز', 'خوردن', 'یا', 'برای', 'لای', 'جرز', 'خوب', 'بودن']"
به دست وپا افتادن,به دست وپا افتادن,abadis_proverb,"['به', 'دست', 'وپا', 'افتادن']"
به دست وپای کسی افتادن,به دست وپای کسی افتادن,abadis_proverb,"['به', 'دست', 'وپای', 'کسی', 'افتادن']"
به دل کسی راه رفتن,به دل کسی راه رفتن,abadis_proverb,"['به', 'دل', 'کسی', 'راه', 'رفتن']"
به رخ کشیدن,به رخ کشیدن,abadis_proverb,"['به', 'رخ', 'کشیدن']"
به روباهه گفتند شاهدت کیه گفت دمم,به روباهه گفت#گو شاهد کیه گفت#گو دمم,abadis_proverb,"['به', 'روباه', '##ه', 'گفت', '[UNK]', 'گو', 'شاهد', 'کیه', 'گفت', '[UNK]', 'گو', 'دم', '##م']"
به روی باز کسی می روند نه به در باز,به روی باز کسی رفت#رو نه به در باز,abadis_proverb,"['به', 'روی', 'باز', 'کسی', 'رفت', '[UNK]', 'رو', 'نه', 'به', 'در', 'باز']"
به ریش کسی بستن یا چسباندن,به ریش کسی بستن یا چسباندن,abadis_proverb,"['به', 'ریش', 'کسی', 'بستن', 'یا', 'چسباندن']"
به ریش کسی خندیدن,به ریش کسی خندیدن,abadis_proverb,"['به', 'ریش', 'کسی', 'خندیدن']"
