idiom,label,source,meaning
شوخ چشم,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شوخ چشم. [ چ َ / چ ِ ] ( ص مرکب ) گستاخ و بی ادب. ( ناظم الاطباء ). بیشرم. بی آزرم :\nغمی گشت و بگذاشت دریابخشم\nبه فرزند گفت ای بد شوخ چشم.\nفردوسی.\nاگر سرد گویم بر این شوخ چشم\nبجوشد دلش گرم گردد ز خشم.\nفردوسی.\nمن این دو لفظ مثل سازم از کلام عوام\nبه وقت آنکه ز هر شوخ چشمم آید خشم.\nخاقانی.\nامروز شوخ چشمان آسوده خاطرند\nمن شوخ چشم نیستم ای کاش هستمی.\nخاقانی.\nو سپهر شوخ چشم غدار چشم زخمی رسانید. ( سندبادنامه چ استانبول ص 245 ).\nبسکه بودم چون گل نرگس دوروی و شوخ چشم\nباز یکچندی زبان در کام چون سوسن کشم.\nسعدی.\nکه ای شوخ چشم آخرت چند بار\nبگفتم که دستم ز دامن مدار.\nسعدی.\nطزع ؛ شوخ چشم شدن. طسع؛ شوخ چشم شدن. ( منتهی الارب ). || زیبا. عشوه گر :\nبخندد بگوید که ای شوخ چشم\nز عشق تو گریم نه از درد و خشم.\nفردوسی.\nاز که آمختی نهادن شعرها ای شوخ چشم\nگر به رسته عاشقان هرگز نبودی آشنا.\nعسجدی.\nو گل سرخ روی سبزقبا شوخ چشم رعنا... مجاورت خار موجب ننگ و عار نمیشمرد. ( سندبادنامه ص 184 ).\nشوخ چشم از سر بهانه نرفت\nتیر بر چشمه نشانه نرفت.\nنظامی.\nپسری شوخ چشم و کشتی گیر\nشوخ چشمی که بگسلد زنجیر.\nسعدی.\nساقیان سیم ساق و شاهدان شوخ چشم\nعاشقان خوش نفس جان پروران خوش نشین.\n؟ ( از ترجمه محاسن اصفهان ص 32 ).\n|| گستاخ. جسور. بی باک. ماجن. ( منتهی الارب ) :\nدیدم همه طپان و بی آرام و شوخ چشم\nاو باز آرمیده و پرشرم و کش خرام.\nسوزنی.\nکو دشمن شوخ چشم بی باک\nتا عیب مرابه من نماید.\nسعدی.', 'فرهنگ فارسی': '( صفت ) بس شرم بی حیا شوخ دیده گستاخ .\nکنایه ازبی شرم، بی حیا، گستاخ، بی شرمی', 'فرهنگ معین': '(چَ یا چِ ) (ص مر. ) بی شرم .', 'فرهنگ عمید': '۱. شوخ دیده، بی شرم، بی حیا، گستاخ.\n۲. (اسم، صفت ) زیبا.', 'پیشنهاد کاربران': 'نه به معنی بی حیا نیست. به نقاشی مونالیزا دقت کنید. به چشمان نگاه میکنی انگار یه حس مثل خنده درون خود داره مشخصه به این نوع نگاه یا چشمان شوخ چشم میگفتند.\n+ عکس و لینک'}"
شکسته ناخن,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شکسته ناخن. [ ش ِ ک َ ت َ / ت ِ خ ُ ] ( ص مرکب ) عبارت از بی قوت و بی استعداد است. ( غیاث ) ( آنندراج ).', 'فرهنگ فارسی': '( صفت ) بی قوت بی استعداد .', 'فرهنگ معین': '( ~ . خُ ) (ص مر. ) کنایه از: بی - استعداد.', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
شیرفهم کردن,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شیرفهم کردن. [ ف َ ک َ دَ ] ( مص مرکب ) در تداول عامه ، جزٔبجزء توضیح دادن و روشن ساختن موضوع. به مزاح ، بجای خرفهم کردن. به کنایه ، خرفهم کردن. ( یادداشت مؤلف ). فهماندن با رنج و زحمت ( به معنی خرفهم کردن ، منتهی به لسان مؤدب تر ): «پس از دو ساعت گفتگومطلب را به او شیرفهم کردم ». ( فرهنگ فارسی معین ).', 'فرهنگ فارسی': '( اسم ) فهماندن با رنج و زحمت ( به معنی خر فهم کردن منتهی بلسان مودب تر ) : پس از دو ساعت گفتگو مطلب را به او شیر فهم کردم .', 'فرهنگ معین': '(فَ. کَ دَ ) (مص م . )(عا. )فهماندن مطلب به شخص کُند ذهن .', 'پیشنهاد کاربران': 'to hammer home\nبه معنای �شیرفهم کردن یک موضوع� است.\nset one straight\n؟\n+ عکس و لینک'}"
شیرک شدن,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شیرک شدن. [ رَ ش ُ دَ ] ( مص مرکب ) ( اصطلاح عامیانه ) دلیر گشتن و باجرأت شدن. ( ناظم الاطباء ). دلیر و چیره شدن. ( آنندراج ) ( غیاث ). جری گردیدن. جری گشتن. به واسطه ندیدن مقاومتی بر قوت و نیروی خود فریفته و بالان شدن. بغلط خود را قوی شمردن. نظیر چشته خور شدن. مسته خوار شدن. چشته خوارشدن. کریز خورده شدن. ( یادداشت مؤلف ) :\nز افتادن او دلیرک شدم\nچو روبه شد او بنده شیرک شدم.\nیحیی کاشی ( ازآنندراج ).', 'فرهنگ فارسی': '( مصدر ) گستاخ شدن جرات یافتن .', 'فرهنگ معین': '(رَ. شُ دَ ) (مص ل . ) (عا. ) گستاخ شدن .', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
شیرین دهن,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'شیرین دهن. [ دَ هََ ] ( ص مرکب ) شیرین دهان. ( یادداشت مؤلف ). آنکه در دهان وی حلاوت باشد. ( ناظم الاطباء ). || آنکه با حلاوت سخن گوید. ( ناظم الاطباء ) ( فرهنگ فارسی معین ) :\nسهل باشد سخن سخت که خوبان گویند\nجور شیرین دهنان تلخ نباشد بردن.\nسعدی.\nمن بنده بالای تو شمشادتنم\nفرهاد تو شیرین دهن خوش سخنم.\nسعدی.\n|| آنکه دهانش زیبا باشد. ( فرهنگ فارسی معین ). کنایه است از معشوقه زیبا و دلربا و شیرین زبان. ( از یادداشت مؤلف ) :\nاجرها باشدت ای خسرو شیرین دهنان\nگر نگاهی سوی فرهاد دل افتاده کنی.\nحافظ.\nعهد ما با لب شیرین دهنان بست خدا\nما همه بنده و این قوم خداوندانند.\nحافظ.\nگفت حافظ من و تو محرم این راز نه ایم\nاز می لعل حکایت کن و شیرین دهنان.\nحافظ.\nرجوع به شیرین دهان شود.\n|| شیرین دهن ؛ ( اِ مرکب ) مقلوب دهن شیرین. دهان شیرین. دهان زیبا و خوش بیان :\nدر وصف نیاید که چه شیرین دهن است آن\nاین است که دور از لب و دندان من است آن.\nسعدی.\nرجوع به شیرین دهان ( اِ مرکب ) شود.', 'فرهنگ فارسی': '( صفت ) ۱ - آن که در دهان وی حلاوت باشد . ۲ - آن که دهانش زیبا باشد . ۳ - آنکه با حلاوت سخن گوید .', 'فرهنگ معین': '(دَ هَ ) (ص مر. ) خوش سخن .', 'فرهنگ عمید': 'ویژگی آن که لب و دهان زیبا و دوست داشتنی دارد.', 'پیشنهاد کاربران': 'شیرین دهن:\nمعنای آن بر دو وجه است: نخست آنکه شیرین زبان و شیرین سخن است یعنی سخنان لطیف و دلگشا می زند یا در لهجه یا شیوه بیانش دلکش و دلرباست شاید هر دو را با هم دارد. دوم آنکه لب های شیرین دارد؛ یعنی لب هایش زیبا است\n...\n[مشاهده متن کامل]\nنمونه:\nاجرها باشدت ای خسرو شیرین دهنان - گر نگاهی سوی فرهاد دل افتاده کنی ( حافظ )\n+ عکس و لینک'}"
شیرین عقل,Negative,moeen_idioms,"{'فرهنگ معین': '(عَ ) (ص مر. ) (کن . ) کم عقل ، ناقص عقل .', 'گویش مازنی': '/shirin aghl/ بی شعور – عقب مانده ی ذهنی – خل مزاج', 'واژه نامه بختیاریکا': 'ساوصادق', 'پیشنهاد کاربران': 'به نظرم واژه شیرین اینجا بی معنی است ، شاید واژه ای دیگر بوده است که دگرگون شده ، شاید ، واژه شیره ای بوده یا شاید اشاره به "" کریم شیره ای "" بوده ، مثلن شیره ای عقل بوده که شیرین عقل شده\nچی می نویسید اخه. . شیرین عقل یعنی ساده لو . . کسی که زود گول میخوره و زود هرچیزی رو باور میکنه . . آدمی که توی دنیایی پر از گرگ . . همه چی رو از دم گل و بل بل میبینه یک ذره فکر نمیکنه به موضوعی و زود هر چیزی رو باور میکنه . . اختیار و قدرت تشخیص و تفکر نداره.\nگِرد عقل\nلهجه و گویش تهرانی\nشیرین عقل\nبه نظر من شیرین عقل کسی است که هر کاری انجام می دهد و اصلا به ان توجه نمی کند.\nخوشحالی بیهوده ، . گیج\nمقدار کمی دلقک بازی برای شوخی در می اورد\nیعنی کسی که عقب افتاده است\nشیرین منسوب به شیر خوار است.\nشیرین عقل :کسی که عقلش در حد شیر خوارگان است.\nکسی که کمی، فقط کمی عقلش کم است.\nعقب مانده\n+ عکس و لینک'}"
شیرین کاشتن,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'شیرین کاشتن. [ ت َ ] ( مص مرکب ) ( اصطلاح عوام ) کاری را نیکو انجام دادن. || گاه ، تمسخر و توهین را بکار رود: «به به ! شیرین کاشتی !».', 'فرهنگ فارسی': '( مصدر ) کاری را نیکو انجام دادن . توضیح گاه در مورد تمسخر و توهین به کار میرود : به به . شیرین کاشتی .', 'فرهنگ معین': '(تَ ) (مص ل . ) (عا. ) کاری را به بهترین وجه انجام دادن .', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
شیشه باز,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شیشه باز. [ شی ش َ / ش ِ ] ( نف مرکب ) محیل و حیله گر و دغل باز و شعبده باز. ( ناظم الاطباء ) ( از انجمن آرا ) ( از غیاث ) ( از برهان ) ( از آنندراج ) :\nاز سنگلاخ رز دل این شیشه باز من\nخندان چو کبک مست ز کوه و کمر گذشت.\nصائب ( از آنندراج ).\n|| فرقه بازیگران رقاص که شیشه بر سر گرفته رقص کنند. ( غیاث ). || ( اِ مرکب ) آفتاب. ( ناظم الاطباء ). کنایه از آفتاب است. ( از برهان ) ( از انجمن آرا ) ( از آنندراج ).', 'فرهنگ فارسی': '( صفت ) ۱ - محیل حیله گر دغا باز . ۲ - آنکه با گوی و ساغر شعبده بازی کند . ۳ - آفتاب .', 'فرهنگ معین': '( ~ . ) (ص فا. ) = شیشه بازنده : ۱ - (کن . ) محیل ، حیله گر، دغاباز. ۲ - آن که با گوی و ساغر شعبده بازی کند. ۳ - آفتاب .', 'فرهنگ عمید': 'حیله گر، مکار، حقه باز، شعبده باز.', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
شیله و پیله,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'شیله و پیله.[ ل َ / ل ِ وُ ل َ / ل ِ ] ( اِ مرکب ، از اتباع ) ( اصطلاح عامیانه ) سوسه. شایبه. مکر. خدعه : آدم بی شیله وپیله ای است. ( فرهنگ فارسی معین ). رجوع به شیله پیله شود.', 'فرهنگ فارسی': '( اسم ) سوسه شلیبه مکر خدعه : آدم بی شیله و پیله ایست .', 'فرهنگ معین': '(لَ یا لِ هُ. لَ یا لِ ) (اِمر. ) (عا. ) مکر، نیرنگ .', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
صاحب دولت,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'صاحب دولت. [ ح ِ دَ / دُو ل َ ] ( ص مرکب ، اِ مرکب ) مقبل. خوش بخت. بختیار :\nکه از بی دولتان بگریز چون تیر\nسرا در کوی صاحب دولتان گیر.\nنظامی.\nدست زن در ذیل صاحب دولتی\nتا ز افضالش بیابی رفعتی.\nمولوی.\nپدر گفت : تو را ای پسر در این نوبت فلک یاری کرد... که صاحب دولتی در تورسید. ( گلستان ).\nطریق و رسم صاحب دولتان است\nکه بنوازند مردان نکو را.\nسعدی.\n|| عارف واصل : چون مرغ روحانیت طالب از بیضه بشریت بواسطه تربیت صاحب دولتی بیرون آید بعد از آن پروازگاه آن مرغ را جز حضرت ال̍ه کسی دیگر نمیداند. ( انیس الطالبین ص 121 ). || پادشاه : پس بگوی که خان داند که امروز مردم دو اقلیم بزرگ که زیر فرمان ما دو صاحب دولت اند، و بیگانگان دور و نزدیک از اطراف چشم نهاده تامیان ما حاصل دوستی بر چه جمله قرار گیرد. ( تاریخ بیهقی ص 210 ).\nآفرین گویان عالم آفرین گویان شده\nپیش تخت چون توصاحب دولت از برنا و پیر.\nسوزنی.\n|| مالدار ( در تداول عامّه ).', 'فرهنگ فارسی': '( صفت ) ۱ - صاحب اقبال نیکبخت . ۲ - توانگر دولتمند مالدار .', 'فرهنگ معین': '( ~ . دَ یا دُ لَ ) [ ازع . ] (ص مر. ) ۱ - نیکبخت . ۲ - توانگر.', 'فرهنگ عمید': '۱. صاحب اقبال، نیک بخت: که از بی دولتان بگریز چون تیر / بُنه در کوی صاحب دولتان گیر (نظامی۲: ۲۴۲ ).\n۲. [قدیمی] توانگر: طریق و رسم صاحب دولتان است / که بنوازند مردان نکو را (سعدی۲: ۶۸۳ ).\n۳. (تصوف ) عارف، عارف واصل.', 'پیشنهاد کاربران': 'صاحب دولت شد: خوشبخت شد، صاحب بخت و اقبال نیکو شد، توانگر و بین مردم قابل قبول یا پسندیده شد، صاحب مال فروان شد\nصاحب دولت :کنایه از مرشد و راهنما\n( به صاحب دولتی پیوند اگر نامی همی جویی\nکه از یک چاکری عیسی چنان معروف شد یلدا )\n( تازیانه های سلوک، نقد و تحلیل قصاید سنائی، دکتر شفیعی کدکنی، زمستان ۱۳۸۳، ص 255. )\n+ عکس و لینک'}"
صاحب قران,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'صاحب قران. [ ح ِ ب ِ / ح ِ ق ِ ] ( ص مرکب ، اِ مرکب ) آن مولود که وقت افتادن نطفه وی در رحم مادر، یا بوقت ولادت او قران عظمی باشد و برج قران در طالع بود. و بعضی گویند که در سال ولادت او زحل و مشتری راقران عظمی باشد و این نوع قران عظمی بعد از سالهای فراوان واقع شود، و این چنین مولود را پادشاهی دیر ماند، و از اسکندری منقول است آنکه وقت ولادت او زهره ومشتری را قران باشد. ( غیاث اللغات ). آنکه ولادت او زحل و مشتری را قران بوده باشد. ( کشاف اصطلاحات الفنون ). و این لفظ پیش از عهد تیموریان معنی وصفی داشته وبجای اسم خاص استعمال نمیشده. رجوع به همین لغت نامه کلمه «اسدی طوسی » بنقل از سخن و سخنوران شود. ناصرالدین شاه قاجار را از سال سی ام سلطنت صاحب قران خوانده اند : چون به نشابور قرار گرفت سالوکان خراسان جمع شدند و تدبیر کردند که این مردی صاحب قران خواهد بود و دولتی بزرگ دارد. ( تاریخ سیستان ص 224 ).\nصاحب قران اگرچه نه ای و ز بیم تو\nنشگفت اگر برآیداز خسروان روان.\nلامعی.\nآخر صاحب قران توئی به حقیقت\nگر پس این چند صدهزار قران است.\nمسعودسعد.\nقران را از این فخر برتر نباشد\nکه شاهی چو این شاه صاحب قران شد.\nمسعودسعد.\nصاحب قران تو باشی در گیتی\nتا در سپهر حکم قران باشد.\nمسعودسعد.\nصاحب قران تو باشی و اینک خدایگان\nدادت به دست خاتم صاحب قرانیا.\nمسعودسعد.\nهست شاهنشاه صاحب دولت صاحب قران\nرأی صاحب دولت و صاحب قران باشد صواب.\nمعزی.\nتا به گردون بر کواکب را قران باشد همی\nاو بود در دین و دنیا بی قرین صاحب قران.\nمعزی.\nصاحب قران عالم هرگز قران بحکم ؟\nبا طالع سعادت کلی قرین شدت.\nصاحب قران شاعری استاد رودکی است.\nاز حدیث دولت صاحب قران در عهد او\nهر کسی گفته ست و بر هر گونه ای دارد نشان\nمن شنیدستم که آن صاحب قران مردی بود\nتیزدولت صعب هیبت نیک سیرت خوب سان\nپاک اصل و راددست و شرمگین و نیکخوی\nباتواضع بادیانت بامروت باامان\nگر بدین آیین بود صاحب قران می دان که نیست\nمر جهان را جز خداوند جهان صاحب قران.\nرشیدی سمرقندی.\nسخنوران را صاحب قران تویی به جهان\nبه تو تمام شود مدت قران سخن.\nسوزنی.\nبیشتر بخوانید ...', 'فرهنگ فارسی': '( صفت ) ۱ - کسی که بهنگام انعقاد نطفه یا در وقت زادن وی قرانی در سیارات صورت گیرد . ۲ - پادشاه عظیم الشان عادل و جهانگیری که دولتش دوام داشته باشد . توضیح این تعبیر را از احکام نجوم گرفته اند زیرا اثر بعض قرانات کواکب همچون کواکب قران زحل و مشتری در بیت طالع دلیل است بر این که مولود پادشاهی عادل و جهانگیر و ملکش پایدار است . ۳ - کسی که در عصر خود به جهتی از جهات برهم سلکان خویش تفوقی حاصل کرده و در حرفه خود ممتاز و مشار الیه شده باشد : وزیر صاحبقران شاعر صاحبقران .\nامام علی وی از شعرای هندوستان و در اوائل قرن سیزدهم می زیست و در زمان نواب آصف الدوله به لکهنو رفت', 'فرهنگ معین': '( ~ . قِ ) [ ازع . ] (ص مر. ) = صاحب القران : نیک طالع ، خوش اقبال ، کسی که در هنگام نطفه بستن یا به دنیا آمدنش ، سیاراتی در قِران بوده باشند.', 'فرهنگ عمید': '۱. کسی که در وقت انعقاد نطفه یا هنگام تولد او در بعضی سیارات سعد، مانند زحل و مشتری، قران صورت گرفته باشد: تا بگردون در کواکب را قران باشد همی / او بُوَد در دین و دنیا بی قرین صاحب قران (امیرمعزی: ۵۰۲ ).\n۲. [قدیمی، مجاز] صاحب طالع نیک، نیک بخت، خوش اقبال. δ، در قدیم منجمان این قران را به فال نیک می گرفته اند.\n۳. [قدیمی، مجاز] عظیم الشٲن.\n۴. [قدیمی] = صاحب قرانی', 'دانشنامه اسلامی': '[ویکی فقه]\nصاحبقران، از القاب احترام آمیز شاهان و سلاطین در زبان فارسی می باشد.\nعنوان صاحبقران معمولاً به حاکمی داده می شد که به هنگام قِران سیارات، خاصه قران سعدین، متولد می شد یا مدت حکومتش از سی سال، تجاوز می کرد. با این حال، این لقب برای حکامی نیز به کار رفته است که چنان ویژگی هایی نداشته اند.\nمعنای قران\nقران عبارت است از مقارنۀ دو سیاره با درجه و طول مساوی در دایرۀ بروج، که هردو برای رصد کننده دارای یک حالت است. بنابر باورهای قدیم، هنگامی که قران واقع می شد، حوادث خوب یا ناخوشایند رخ می داد و گاه داعیانی پیدا می شدند که زمینۀ خروج خود یا سقوط دولتی را از قبل آماده می کردند و بعداً منجمان درباری نیز این موفقیت ها را با قران های نجومی تطبیق می دادند. (برای اطلاع بیشتردربارۀ درک منجمان قدیم مسلمان از قران های نجومی، رجوع کنیدبه .\nکاربرد صاحبقران\nصاحبقران، بنا بر کاربردهایش در منابع فارسی تا قرن هشتم و نهم، لقبی بوده که بیش تر بر قدرت و عظمت یک حاکم، دلالت می کرده است. این واژه پیش از عصر تیموری بیش تر معنای وصفی داشته و به جای اسم خاص یا لقب رسمی به کار می رفته است. کتبی، مورخ قرن هشتم، در تاریخ آل مظفر در ذکر نبرد شاه منصور و سلطان زین العابدین، که به شکست زین العابدین و کور شدن چشمان وی انجامید، شاه منصور را صاحبقران ایران و توران نامیده، اما در همان اثر، در ذکر لشکرکشی امیر تیمور به قلمرو شاه منصور، لقب صاحبقران را برای تیمور به کار برده است. همچنین درگزارش هایی، برخی از حکام محلی نیز در قرن نهم صاحبقران خوانده شده اند.\nلقب صاحبقران اعظم\n...\nwikifeqh:\nصاحبقران', 'دانشنامه آزاد فارسی': 'صاحب قَران\n(یا: صاحب قِران) کسی که ولادت او با قِران سیارات (خصوصاً سیارات سعد مانند: زهره، مشتری) همزمان باشد. این تقارن با فاصلۀ زمانی طولانی واقع می شود و مولود چنین لحظه ای را بزرگ می دانند. تا پیش از امیرتیمور از این واژه به عنوان اسم خاص استفاده نمی شد. صاحب قران به کسی گفته می شد که بر هم ردیفان خود امتیاز ویژه ای داشت. یعقوب لیث را درویشان خراسان، هنگام سفر به نیشابور صاحب قران خواندند؛ یا نظامی عروضی رودکی را صاحب قران شاعران نامیده است. در دورۀ مغول، وزرای بزرگ، چون جوینی ها و رشیدالدین فضل الله، را صاحب قران خواندند. تیمور نخستین کسی بود که به صاحب قران ملقب شد. ناصرالدین شاه قاجار نیز در سال سی ام (۱۲۹۳ق) سلطنت لقب صاحب قران یافت. در ایران صاحب قران نام سکه ای بوده است. این واژه بر روی بسیاری از سکه های دورۀ صفوی و قاجاری دیده می شود.\nwikijoo:\nصاحب_قران', 'پیشنهاد کاربران': 'در کران کران ، نام تو بر زبان\nلقی که ناصرالدین شاه به افتخار ۵۰ سال حکومت بر ایران بر خود نهاده بود\n( او سومین پادشاه ایران از نظر سال های پادشاهی بر ایران است که به ترتیب بعد از شاهپور دوم ساسانی و تهماسب اول صفوی قرار میگیرد )\nقران ( کیران ) ، ، ، در تورکی یعنی کسی که میشکنه یا باعث شکستن میشه\nصاحیب کران هست درستش لقب امیر تیمور\nیعنی ( شاه کش )\nلقب جهانگشا امیر تیمور گوگ ترک بن اولو بیگ بن شاروخ\nصاحب قران\nاز صاحب عربی قران تورکی\nقران از قرماق یعنی سلطه کردن بر ، کشتن ، پاره کردن ، قطع کردن ، شکستن\n■معنی دقیق قرماق ( کیرماک ) ، ، ، یعنی شکستن\n■لقب سلاطین\nدر پارسی "" سده مند "" دارنده سده ها\nصاحبقران به معنای فاتح دو قرن است.\nدر زمان گذشته هر بیست و پنج سال یک قرن محسوب میشده و پادشاهانی که حدود پنجاه سال حکمرانی میکردند را با این صفت میخواندند.\nحق نزدیکی و پیوند و هم صحبتی\nبا بزرگی یا خداوند را داشتن\n+ عکس و لینک'}"
صفرا کردن,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'صفرا کردن. [ ص َ ک َ دَ ] ( مص مرکب ) کنایه از خشم کردن و اعراض نمودن باشد. خشم کردن. ( انجمن آرای ناصری ) :\nحاسد ملعون چرا خرم دل و خندان شود\nگر زمانی بخت خواجه تندی و صفرا کند.\nمنوچهری.\nوز راز خدا اگر نه ای آگه\nبر حجت دین چرا کنی صفرا.\nناصرخسرو.\nمرد را سودای دانش در دل و در سر شود\nچونش ننگ و عار نادانی به دل صفرا کند.\nناصرخسرو.\nروز و شب تو از شب و روز او\nبهتر ز چیست خیره مکن صفرا.\nناصرخسرو.\nصفرا چه کنی رحم کن ای بدر منیر\nپای تو گرفته ست رهی دستش گیر.\nابوالفرج رونی.\nسودائیست بخت و نگویم که هر زمان\nجرمی نکرده بر من صفرا کند همی.\nمسعودسعد.\nچو بیمارت کند یزدان طبیبان را کنی حاضر\nاگر گویم که سودا می پزی بر من مکن صفرا.\nمطرزی.\nمنم در کام این ایام سکّر\nچرا بر من کند بیهوده صفرا؟\nجمال الدین عبدالرزاق.\nباده با ما کم خوری و طرفه آنک\nعربده همواره باما می کنی\nور همی گویند با تو این سخن\nخشم می گیری و صفرا می کنی.\nفخرالدین هروی.\nز بس که بر من بیچاره چرخ صفراکرد\nز آهن است دلم گر نگشت سودائی.\nمحمدبن مؤید.\nدم مزن خون می خور و صفرا مکن\nپشه ای با باد غوغا چون کنی.\nعطار.\nای باد برقع برفکن آن روی آتش ناک را\nای دیده گر صفرا کنم آبی بزن این خاک را.\nامیرخسرو ( از آنندراج ).\n|| استفراغ و قی کردن. ( برهان ).', 'فرهنگ فارسی': '( مصدر ) ۱ - استفراغ کردن قی کردن . ۲ - خشم کردن غضب کردن .', 'فرهنگ معین': '( ~ . کَ دَ ) [ ع - فا. ] (مص ل . ) کنایه از: استفراغ کردن . ۲ - تندخویی کردن .', 'پیشنهاد کاربران': 'تلخی کردن، بد خلقی کردن، روی گرداندن، خشم گرفتن\nتندی کردن،\nگر عاشق دلسوخته بی تدبیر\nپیغام دهد که از توام نیست گزیر\nصفرا چه کنی رحم کن ای بدر منیر\nپای تو گرفته است رهی دستش گیر\n+ عکس و لینک'}"
طرف بستن,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'طرف بستن. [ طَ ب َ ت َ ] ( مص مرکب ) طرف بربستن. حاصل کردن و فائده و نفع برداشتن ، چه طرف بمعنی کلیچه کمر است و بستن آن موجب زینت است. ( غیاث اللغات ) ( آنندراج ). لکن اکثر بدین معنی به صله «از» آید و بعضی محققین و غیره بدین معنی بفتحتین بسته اند. در صحت آن تأمل است. ( آنندراج ). سود بردن. پهلو یافتن از کسی :\nطوطیان خاص را قندی است ژرف\nطوطیان عام از این خود بسته طرف.\nمولوی.\nنبندی زان میان طرفی کمروار\nاگر خود را ببینی در میانه.\nحافظ.\nکس به دور نرگست طرفی نبست از عافیت\nبه که نفروشند مستوری به مستان شما.\nحافظ.\nطرف کرم ز کس نبست این دل پرامید من\nگرچه سخن همی برد قصه من به هر طرف.\nحافظ.', 'فرهنگ فارسی': '( مصدر ) نفع یافتن سور بردن نتیجه گرفتن .', 'فرهنگ معین': '(طَ رْ. بَ تَ ) [ ع - فا. ] (مص ل . ) کنایه از: سود بردن .', 'پیشنهاد کاربران': 'نتیجه، سود جستن، بهره بردن، عاید شدن، سازوبرگ ( در مسیر زندگی و سوار براسبی که می روی, چه ساز و برگی و توشه و نتیجه ای برای خود یافتی ) ، نتیجه آمدنت چه بود؟ سودت چه بود؟\nچیزی عایدشدن، نتیجه گرفتن، بهره جستن، سودیافتن\nبنگر ز جهان چه طَرْف بربستم؟ هیچ __\nوَز حاصلِ عمر چیست در دستم؟ هیچ __ [خیام]\n- محظوظ شدن ؛ بهره مند شدن. تمتع بردن :\nلوح حافظ لوح محفوظی شود\nروح او از روح محظوظی شود.\nمولوی.\nمحظوظ گردیدن ؛ محظوظ گشتن. محظوظ شدن : و دیگر رسایل و رقاع و فصول از انواع به مطالعه ٔ همه محظوظ گشتم. ( مرزبان نامه چ سال 1317 تهران ص 24 ) .\n...\n[مشاهده متن کامل]\nبهره ور شدن، بهره مند شدن، متمتع شدن، برخوردار شدن، حظ کردن، حظ بردن، لذت بردن، خشنود شدن\nنصیب بردن\n+ عکس و لینک'}"
طعن زدن,Negative,moeen_idioms,"{'لغت نامه دهخدا': 'طعن زدن. [ طَ زَ دَ ] ( مص مرکب ) سرزنش کردن. نکوهش کردن :\nزده کنگرش طعنها بر فلک\nرسیده سر تیغ او بر ملک.\nفردوسی.\nدر تاریخی که میکنم سخنی نرانم که آن به تعصبی و میلی کشد... بلکه آن گویم که تا خوانندگان با من اندر این موافقت کنند و طعنی نزنند. ( تاریخ بیهقی چ ادیب ص 175 ).\nاگر طعنی زند بر وی خسیسی\nبجزوحشت مباد او را انیسی.\nنظامی.\nرجوع به طعنه زدن شود.', 'فرهنگ فارسی': '( مصدر ) سرزنش کردن نکوهش کردن .', 'فرهنگ معین': '( ~ . زَ دَ ) [ ع - فا. ] (مص م . ) ۱ - سرزنش کردن . ۲ - به سخن کنایه کسی را رنجاندن .', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
طوطی مقال,Positive,moeen_idioms,"{'فرهنگ فارسی': '( صفت ) فصیح زبان .', 'فرهنگ معین': '(مَ ) [ فا - ع . ] (ص مر. ) کنایه از: خوش سخن ، فصیح .', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
طیلسان دار,Positive,moeen_idioms,"{'لغت نامه دهخدا': 'طیلسان دار. [ طَ / طِ ل َ ] ( نف مرکب ، اِ مرکب ) کنایه از پیر و مرشد :\nطیلسان داران دین بودند آنجا نعره زن\nخانقه داران جان بودند آنجا جامه در.\nسنائی.', 'فرهنگ فارسی': '( صفت ) ۱ - آن که طیلسان پوشیده . ۲ - پیر مرشد .', 'فرهنگ معین': '( ~ . ) [ معر - فا. ] (ص فا. ) کنایه از مرشد، پیر.', 'پیشنهاد کاربران': 'پیشنهادی ثبت نشده است. شما اولین نفر باشید\n+ عکس و لینک'}"
